Participant.ID,Which.Condition.,I.noticed..my.partner..,X.My.partner..noticed.me.,X.My.partner.s..presence.was.obvious.to.me.,My.presence.was.obvious.to..my.partner..,X.My.partner..caught.my.attention.,I.caught..my.partner.s..attention.,Scores
1,Co-located Fully VR (FVR),5,6,6,3,5,4,4.833333333
1,Co-located See-through VR (SVR),5,6,6,6,7,5,5.833333333
1,Remote VR,6,6,7,5,6,6,6
2,Co-located Fully VR (FVR),6,6,6,6,6,6,6
2,Co-located See-through VR (SVR),6,6,6,5,6,5,5.666666667
2,Remote VR,5,5,5,5,5,5,5
7,Co-located Fully VR (FVR),5,5,5,5,5,5,5
7,Co-located See-through VR (SVR),6,7,7,7,7,7,6.833333333
7,Remote VR,6,6,5,5,5,5,5.333333333
8,Co-located Fully VR (FVR),6,6,6,6,5,4,5.5
8,Co-located See-through VR (SVR),7,6,6,5,4,4,5.333333333
8,Remote VR,6,5,6,6,6,6,5.833333333
9,Co-located Fully VR (FVR),6,7,6,7,7,7,6.666666667
9,Co-located See-through VR (SVR),7,7,7,7,7,7,7
9,Remote VR,6,6,6,6,6,6,6
10,Co-located Fully VR (FVR),6,6,6,6,7,7,6.333333333
10,Co-located See-through VR (SVR),6,6,7,7,6,7,6.5
10,Remote VR,7,7,7,7,7,7,7
11,Co-located Fully VR (FVR),6,6,6,6,6,6,6
11,Co-located See-through VR (SVR),7,7,7,7,7,7,7
11,Remote VR,6,6,6,6,6,6,6
12,Co-located Fully VR (FVR),6,6,6,6,6,6,6
12,Co-located See-through VR (SVR),6,6,6,6,6,6,6
12,Remote VR,6,7,7,7,7,7,6.833333333
13,Co-located Fully VR (FVR),7,6,7,6,7,7,6.666666667
13,Co-located See-through VR (SVR),7,6,7,6,7,7,6.666666667
13,Remote VR,7,5,7,6,7,6,6.333333333
14,Co-located Fully VR (FVR),3,5,3,5,4,4,4
14,Co-located See-through VR (SVR),5,5,5,5,5,5,5
14,Remote VR,3,5,3,5,3,4,3.833333333
15,Co-located Fully VR (FVR),7,7,7,7,7,7,7
15,Co-located See-through VR (SVR),7,7,6,6,6,6,6.333333333
15,Remote VR,7,7,7,7,7,7,7
16,Co-located Fully VR (FVR),6,5,6,6,6,6,5.833333333
16,Co-located See-through VR (SVR),6,5,6,5,6,6,5.666666667
16,Remote VR,7,6,2,3,6,6,5
17,Co-located Fully VR (FVR),5,5,6,6,5,5,5.333333333
17,Co-located See-through VR (SVR),6,6,6,5,6,5,5.666666667
17,Remote VR,6,4,5,5,6,5,5.166666667
18,Co-located Fully VR (FVR),5,4,4,5,4,5,4.5
18,Co-located See-through VR (SVR),5,6,6,5,6,6,5.666666667
18,Remote VR,5,5,6,5,5,6,5.333333333
19,Co-located Fully VR (FVR),5,5,3,4,5,5,4.5
19,Co-located See-through VR (SVR),5,5,5,5,5,5,5
19,Remote VR,6,6,6,6,6,6,6
20,Co-located Fully VR (FVR),5,6,6,6,7,7,6.166666667
20,Co-located See-through VR (SVR),7,6,6,6,7,6,6.333333333
20,Remote VR,7,7,7,7,7,7,7
21,Co-located Fully VR (FVR),7,7,7,7,7,7,7
21,Co-located See-through VR (SVR),6,6,6,6,6,6,6
21,Remote VR,7,7,7,7,7,7,7
22,Co-located Fully VR (FVR),7,7,7,7,7,7,7
22,Co-located See-through VR (SVR),7,7,7,7,7,7,7
22,Remote VR,7,7,7,7,7,7,7
23,Co-located Fully VR (FVR),7,6,6,6,6,6,6.166666667
23,Co-located See-through VR (SVR),6,5,6,6,6,6,5.833333333
23,Remote VR,6,6,5,5,5,6,5.5
24,Co-located Fully VR (FVR),7,7,7,7,7,7,7
24,Co-located See-through VR (SVR),6,5,6,6,6,6,5.833333333
24,Remote VR,7,7,7,7,7,7,7
25,Co-located Fully VR (FVR),7,7,7,7,7,7,7
25,Co-located See-through VR (SVR),7,7,7,7,7,7,7
25,Remote VR,6,6,7,7,7,7,6.666666667
26,Co-located Fully VR (FVR),7,7,7,7,7,7,7
26,Co-located See-through VR (SVR),7,7,7,7,7,7,7
26,Remote VR,7,7,7,7,7,7,7
27,Co-located Fully VR (FVR),7,7,7,7,7,7,7
27,Co-located See-through VR (SVR),6,7,7,7,6,7,6.666666667
27,Remote VR,6,7,7,7,6,7,6.666666667
28,Co-located Fully VR (FVR),5,5,4,4,4,5,4.5
28,Co-located See-through VR (SVR),6,6,6,6,6,6,6
28,Remote VR,6,6,3,3,4,4,4.333333333
29,Co-located Fully VR (FVR),4,4,4,4,4,4,4
29,Co-located See-through VR (SVR),5,5,4,5,4,4,4.5
29,Remote VR,5,5,5,5,5,5,5
30,Co-located Fully VR (FVR),4,3,4,4,3,3,3.5
30,Co-located See-through VR (SVR),5,4,3,5,5,5,4.5
30,Remote VR,3,3,3,4,3,3,3.166666667
31,Co-located Fully VR (FVR),6,6,7,7,6,6,6.333333333
31,Co-located See-through VR (SVR),7,7,7,7,7,7,7
31,Remote VR,6,6,6,7,6,6,6.166666667
32,Co-located Fully VR (FVR),4,4,4,5,5,5,4.5
32,Co-located See-through VR (SVR),6,6,6,6,6,6,6
32,Remote VR,4,5,6,5,6,5,5.166666667
33,Co-located Fully VR (FVR),4,4,5,5,4,4,4.333333333
33,Co-located See-through VR (SVR),6,6,5,5,5,5,5.333333333
33,Remote VR,6,6,5,5,5,5,5.333333333
34,Co-located Fully VR (FVR),7,7,7,7,7,7,7
34,Co-located See-through VR (SVR),5,5,6,5,5,5,5.166666667
34,Remote VR,6,6,7,7,5,6,6.166666667
